rank,name,peak_elo,peak_date,current_elo,elo_vs_peak,fights,last_fight
215,Rinat Fakhretdinov,1621.78,2025-09-06,1621.78,0.0,7,2025-09-06
216,Azamat Murzakanov,1621.48,2025-10-25,1621.48,0.0,6,2025-10-25
217,Diego Lopes,1621.47,2025-09-13,1606.89,-14.58,9,2026-01-31
218,TJ Grant,1621.3,2013-05-25,1508.72,-112.58,11,2013-05-25
219,Mark Munoz,1621.12,2011-11-05,1505.56,-115.56,15,2015-05-16
220,Farid Basharat,1621.11,2026-02-07,1621.11,0.0,6,2026-02-07
221,Dennis Bermudez,1620.86,2014-07-26,1508.67,-112.19,17,2019-01-19
222,Fares Ziam,1620.8,2025-12-06,1620.8,0.0,10,2025-12-06
223,Andrei Arlovski,1620.59,2015-09-05,1486.95,-133.64,42,2024-06-29
224,Zabit Magomedsharipov,1620.57,2019-11-09,1536.62,-83.95,6,2019-11-09
225,Jack Hermansson,1620.44,2019-04-27,1546.69,-73.75,19,2025-11-22
226,Quinton Jackson,1620.21,2011-05-28,1506.32,-113.89,13,2015-04-25
227,Alexa Grasso,1620.17,2023-03-04,1582.48,-37.69,14,2025-05-10
228,Martin Kampmann,1619.85,2012-06-01,1505.68,-114.17,17,2013-08-28
229,Anthony Pettis,1619.57,2014-12-06,1540.67,-78.9,20,2020-12-19
230,Chris Gutierrez,1619.53,2025-04-26,1594.31,-25.22,15,2025-10-04
231,Kevin Holland,1618.29,2023-07-29,1557.49,-60.8,28,2025-10-18
232,Rick Story,1618.1,2011-05-28,1512.67,-105.43,19,2016-08-20
233,Stefan Struve,1616.93,2012-09-29,1482.28,-134.65,24,2020-10-24
234,Karo Parisyan,1616.76,2007-11-17,1501.73,-115.02,13,2010-11-20
235,Tai Tuivasa,1616.56,2022-02-12,1496.14,-120.42,17,2026-01-31
236,Rani Yahya,1616.33,2021-11-20,1543.25,-73.08,21,2024-04-27
237,Francis Carmont,1616.21,2013-09-21,1504.16,-112.05,9,2014-08-23
238,Alex Morono,1616.09,2022-07-30,1491.06,-125.03,24,2026-02-07
239,Matt Hamill,1616.05,2010-10-23,1504.69,-111.36,15,2013-10-09
240,Paul Felder,1615.94,2019-09-07,1530.41,-85.52,15,2020-11-14
241,Bryan Battle,1615.93,2024-12-07,1609.35,-6.58,9,2024-12-07
242,Melquizael Costa,1615.69,2026-02-21,1615.69,0.0,9,2026-02-21
243,Anthony Rocco Martin,1615.57,2019-11-09,1533.5,-82.07,15,2020-06-06
244,Gleison Tibau,1615.17,2015-01-18,1501.52,-113.65,28,2018-06-01
245,Urijah Faber,1614.84,2014-12-06,1518.56,-96.27,18,2019-12-14
246,Jake Matthews,1614.21,2025-07-12,1590.67,-23.54,23,2025-09-27
247,Drew Dober,1613.94,2022-12-17,1564.73,-49.21,27,2026-03-07
248,Nasrat Haqparast,1613.77,2025-03-01,1584.77,-29.0,15,2025-10-25
249,Pat Sabatini,1613.68,2025-11-15,1613.68,0.0,10,2025-11-15
250,Elias Theodorou,1613.55,2018-12-08,1523.96,-89.59,11,2019-05-04
251,Aleksandar Rakic,1613.36,2021-03-06,1521.83,-91.52,11,2025-10-25
252,Jean Silva,1613.29,2025-04-12,1612.15,-1.13,7,2026-01-24
253,Dennis Siver,1613.26,2012-12-08,1510.04,-103.22,21,2017-06-25
254,Drakkar Klose,1612.81,2024-05-04,1606.39,-6.43,13,2025-08-16
255,Li Jingliang,1612.74,2021-01-16,1542.38,-70.36,18,2024-08-17
256,Travis Browne,1612.57,2013-12-28,1504.21,-108.36,17,2017-07-08
257,Gunnar Nelson,1612.56,2017-03-18,1548.18,-64.38,16,2025-03-22
258,Marcus Davis,1612.31,2009-01-17,1501.25,-111.06,15,2011-01-01
259,Calvin Kattar,1612.13,2022-01-15,1518.65,-93.48,15,2025-07-12
260,Marina Rodriguez,1611.86,2022-03-05,1520.59,-91.27,15,2025-05-03
261,Jens Pulver,1611.7,2002-01-11,1500.03,-111.67,9,2007-06-23
262,Paulo Costa,1611.69,2019-08-17,1577.59,-34.11,11,2025-07-19
263,Al Iaquinta,1611.68,2018-12-15,1514.76,-96.91,15,2021-11-06
264,Melvin Guillard,1611.46,2011-07-02,1502.88,-108.58,22,2014-03-08
265,Andre Muniz,1611.45,2022-07-02,1526.74,-84.7,10,2025-10-04
266,Bryce Mitchell,1611.24,2022-03-05,1595.85,-15.39,12,2025-07-26
267,Manel Kape,1610.97,2025-12-13,1610.97,0.0,10,2025-12-13
268,Roger Huerta,1610.6,2007-12-08,1502.23,-108.37,8,2009-09-16
269,Sergio Moraes,1610.14,2018-09-22,1512.25,-97.89,14,2019-11-16
